7zip 26.02-1
glib2 2.88.2-1
glib2-devel 2.88.2-1
glibc 2.43+r37+gfdf10644d6ee-1
glibmm 2.66.9-1
glibmm-2.68 2.88.1-1
glm 1.0.3-1
glow 2.1.2-1
glslang 1:1.4.350.1-1
glu 9.0.3-3
glycin 2.1.5-2
gmp 6.3.0-3
gnome-bluetooth-3.0 47.2-1
gnome-desktop 1:44.5-1
gnome-desktop-common 1:44.5-1
gnu-free-fonts 20120503-9
gnulib-l10n 20241231-1
gnupg 2.4.9-2
gnutls 3.8.13-2
go 2:1.26.5-1
gobject-introspection 1.86.0-2
gobject-introspection-runtime 1.86.0-2
google-glog 0.7.1-2
gperf 3.3-2
gperftools 2.18.1-1
gpg-tui 0.11.2-1
gpgme 2.1.2-1
gpgmepp 2.1.0-1
gpm 1.20.7.r38.ge82d1a6-6
gpsd 3.27.5-1
gradle 9.6.1-1
graphene 1.10.8-2
graphite 1:1.3.15-1
graphviz 15.1.0-1
grep 3.12-2
grex 1.4.6-2
grim 1.5.0-2
grimblast-git r167.3dcbce7-1
groff 1.24.1-1
grpc 1.82.1-1
gsettings-desktop-schemas 50.1-1
gsettings-system-schemas 50.1-1
gsfonts 20200910-6
gsl 2.8-1
gsm 1.0.24-1
gsound 1.0.3-4
gssdp 1.6.6-1
gst-libav 1.28.5-2
gst-plugin-gtk4 0.15.3-1
gst-plugin-pipewire 1:1.6.8-1
gst-plugins-bad 1.28.5-2
gst-plugins-bad-libs 1.28.5-2
gst-plugins-base 1.28.5-2
gst-plugins-base-libs 1.28.5-2
gst-plugins-good 1.28.5-2
gst-plugins-ugly 1.28.5-2
gst-python 1.28.5-2
gstreamer 1.28.5-2
gtest 1.17.0-2
gtk-layer-shell 0.10.1-1
gtk-update-icon-cache 1:4.22.4-1
gtk3 1:3.24.52-1
gtk4 1:4.22.4-1
gtk4-layer-shell 1.3.0-1
gtkmm-4.0 4.22.0-2
gtkmm3 3.24.11-1
gts 0.7.6.121130-5
guile 3.0.11-1
gum 0.17.0-1
gumbo-parser 0.13.2-1
gupnp 1:1.6.10-1
gupnp-igd 1.6.0-2
gurk 0.10.0-1
guvcview-common 2.2.2-3
guvcview-qt 2.2.2-3
gvfs 1.60.1-1
gvfs-mtp 1.60.1-1
gzip 1.14-2
halloy 2026.7.2-1
harfbuzz 14.2.1-1
harfbuzz-icu 14.2.1-1
hdf5 2.1.1-1
heroic-games-launcher-git 2.22.0.r24.g728bd197e-1
hexyl 0.17.0-1
hicolor-icon-theme 0.18-1
hidapi 0.15.0-1
highway 1.4.0-1
hiredis 1.3.0-1
hunspell 1.7.3-1
hwdata 0.409-1
hwdetect 2025.08.16.1333-1
hwloc 2.14.0-1
hyperfine 1.20.0-1
hyphen 2.8.9-1
hyprcursor-git 0.1.13.r4.g3943590-1.16
hyprgraphics-git 0.5.1.r9.gc6e7b9f-1.7
hypridle-git 0.1.7.r11.gba40c0a-1.2
hyprland-git 0.56.0.r17.g62d890e-1
hyprland-guiutils-git 0.2.2.r0.ga16ad89-1.4
hyprland-protocols-git 0.7.0.r4.g1cb6db5-1
hyprland-qt-support-git 0.1.0.r11.g05a7be6-1.7
hyprlang-git 0.6.8.r7.g0901175-1.13
hyprlock-git 0.9.6.r0.gb222d9b-1.1
hyprpaper-git 0.8.4.r1.gc011bd2-1.14
hyprpicker-git 0.4.7.r4.g9e3b751-1.2
hyprqt6engine-git 0.1.0.r8.g0021cc2-1
hyprtoolkit-git 0.5.4.r42.g67d9012-1.1
hyprutils-git 0.14.0.r1.g83da5ee-1
hyprwayland-scanner-git 0.4.6.r0.gb863271-1
hyprwire-git 0.3.1.r6.g7d935bb-1
i2c-tools 4.4-4
iana-etc 20260530-1
icoextract 0.3.0-1
icu 78.3-1
ijs 0.35-7
imagemagick 7.1.2.27-1
imath 3.2.2-6
imlib2 1.12.6-2
iniparser 4.2.6-2
inotify-tools 4.25.9.0-1
intel-oneapi-common 2026.0.0_235-1
intel-oneapi-mkl 2026.0.0_908-1
intel-oneapi-openmp 2026.0.0_947-1
intel-oneapi-tbb 2023.0.0_724-1
intel-oneapi-tcm 1.5.0_489-1
inxi 3.3.41.1-1
iperf3 3.21-1
iproute2 7.1.0-1
iptables 1:1.8.13-1
iputils 20250605-1
ipython 9.15.0-1
iso-codes 4.20.1-1
iwd 3.12-1
jansson 2.15.0-1
jasper 4.2.9-1
java-environment-common 3-6
java-runtime-common 3-6
jbig2dec 0.20-2
jbigkit 2.1-8
jdk-openjdk 26.0.2.u10-1
jemalloc 1:5.3.1-2
jq 1.8.2-1
json-c 0.19-1
json-glib 1.10.8-1
jsoncpp 1.9.6-3
jujutsu 0.43.0-1
kbd 2.10.0-1
kconfig 6.28.0-1
kcoreaddons 6.28.0-1
kcrash 6.28.0-1
kdbusaddons 6.28.0-1
kddockwidgets 2.4.1-1
kdsingleapplication 1.2.1-1
keepassxc 2.7.12-3
keychain 2.9.8-1
keyutils 1.6.3-4
